dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
	2017-02-25	1212E	ASTURIAS AEROPUERTO	0.0	1006.4	1002.9	ASTURIAS		6.1				3.3
11.0	2017-02-25	8019	ALICANTE-ELCHE AEROPUERTO	0.1	1018.8	1013.7	ALICANTE	6.7		18.2	14.6	11.0	2.2
99.0	2017-02-25	5783	SEVILLA AEROPUERTO	0.0	1019.3	1015.0	SEVILLA	4.7	0.7	17.4	14.7	12.0	1.9
23.0	2017-02-26	1212E	ASTURIAS AEROPUERTO	0.0	1009.2	999.5	ASTURIAS	6.1	4.2	16.2	12.2	8.2	1.1
17.0	2017-02-26	8019	ALICANTE-ELCHE AEROPUERTO	0.1	1019.6	1015.8	ALICANTE	6.7		20.7	14.2	7.7	1.4
99.0	2017-02-26	5783	SEVILLA AEROPUERTO	0.0	1020.6	1017.5	SEVILLA	4.7	0.0	16.9	13.8	10.8	1.1
28.0	2017-02-27	1212E	ASTURIAS AEROPUERTO	0.2	999.5	992.5	ASTURIAS	21.7	4.7	18.1	12.5	6.9	6.7
30.0	2017-02-27	8019	ALICANTE-ELCHE AEROPUERTO	0.1	1015.9	1010.2	ALICANTE	12.8		23.5	16.2	8.8	4.4
99.0	2017-02-27	5783	SEVILLA AEROPUERTO	0.0	1018.9	1015.5	SEVILLA	7.2	5.2	18.5	13.3	8.1	1.4
29.0	2017-02-28	1212E	ASTURIAS AEROPUERTO	16.3	1002.1	991.3	ASTURIAS	23.3	1.3	12.5	10.4	8.4	6.9
99.0	2017-02-28	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1015.2	1008.8	ALICANTE	15.3		24.1	18.0	12.0	3.9
99.0	2017-02-28	5783	SEVILLA AEROPUERTO	0.0	1018.2	1015.4	SEVILLA	9.7	2.9	17.1	12.6	8.1	1.9
26.0	2017-03-01	1212E	ASTURIAS AEROPUERTO	2.7	1002.9	999.2	ASTURIAS	13.3	5.6	18.5	13.9	9.3	3.9
33.0	2017-03-01	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1018.3	1014.8	ALICANTE	12.5		20.7	15.8	10.8	3.3
99.0	2017-03-01	5783	SEVILLA AEROPUERTO	0.0	1018.5	1015.6	SEVILLA	5.8	11.0	20.5	14.3	8.1	1.4
29.0	2017-03-02	1212E	ASTURIAS AEROPUERTO	0.2	1003.1	993.1	ASTURIAS	6.7	2.7	17.2	14.0	10.7	1.1
20.0	2017-03-02	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1017.2	1013.7	ALICANTE	6.1		24.9	16.7	8.5	2.8
99.0	2017-03-02	5783	SEVILLA AEROPUERTO	0.0	1017.3	1011.9	SEVILLA	6.7	11.0	21.7	14.9	8.1	1.7
27.0	2017-03-03	1212E	ASTURIAS AEROPUERTO	2.8	993.1	982.9	ASTURIAS	16.4	0.1	10.7	8.3	5.9	2.5
